sku,name,description,category,sub_type,weight,stackable,max_stack,equippable,equip_slot,damage_min,damage_max,armor_rating,durability_max,consumable,charges_max,effects,tags
nano_kit-0001,Wood Nano Kit Mk I QX-95,Wood Nano Kit Mk I QX-95: a sci_fi item used in various contexts.,sci_fi,nano_kit,8.15,0,1,1,hands,,,,,0,,,"[""uncommon"", ""sci-fi""]"
handheld_radio-0002,Handheld Radio of Swiftness,Handheld Radio of Swiftness: a survival item used in various contexts.,survival,handheld_radio,9.13,0,1,0,,,,,,0,,,"[""common""]"
hose-0003,Hose of Swiftness,Hose of Swiftness: a tool item used in various contexts.,tool,hose,8.78,0,1,0,,,,,,0,,,"[""tool"", ""common""]"
sweet_roll-0004,Ancient Steel Sweet Roll,Ancient Steel Sweet Roll: a food_drink item used in various contexts.,food_drink,sweet_roll,9.3,0,1,0,,,,,,0,,,"[""common""]"
stew_packet-0005,Stew Packet of Fortune,Stew Packet of Fortune: a food_drink item used in various contexts.,food_drink,stew_packet,11.25,0,1,0,,,,,,0,,,"[""common""]"
meteor_hammer-0006,Stalwart Meteor Hammer of Swiftness,Meteor Hammer of Swiftness: a weapon item used in various contexts.,weapon,meteor_hammer,2.83,0,1,1,back,6,12,,174,0,,,"[""uncommon"", ""weapon""]"
club_heavy-0007,Club Heavy of Fortune,Club Heavy of Fortune: a weapon item used in various contexts.,weapon,club_heavy,7.06,0,1,1,hands,4,5,,170,0,,,"[""common"", ""weapon""]"
cargo_pants-0008,Cargo Pants of Fortune,Cargo Pants of Fortune: a clothing item used in various contexts.,clothing,cargo_pants,11.95,0,1,1,hands,,,0,,0,,,"[""wearable"", ""common""]"
kite_shield-0009,Kite Shield of Fortune,Kite Shield of Fortune: a armor item used in various contexts.,armor,kite_shield,9.17,0,1,1,head,,,7,115,0,,,"[""common"", ""armor""]"
stone_chisel-0010,"Stone Chisel of Might, Epic","Stone Chisel of Might, Epic: a crafting item used in various contexts.",crafting,stone_chisel,11.16,0,1,0,,,,,,0,,,"[""epic""]"
candle-0011,Heavy Steel Candle,Heavy Steel Candle: a household item used in various contexts.,household,candle,1.63,0,1,0,,,,,,0,,,"[""uncommon""]"
collar_soft-0012,Collar Soft of Might,Collar Soft of Might: a jewelry item used in various contexts.,jewelry,collar_soft,11.94,0,1,0,,,,,,0,,"{""charisma"": 0.05}","[""fashion"", ""value"", ""uncommon""]"
charm-0013,Sturdy Iron Charm,Sturdy Iron Charm: a jewelry item used in various contexts.,jewelry,charm,10.87,0,1,0,,,,,,0,,"{""charisma"": 0.02}","[""fashion"", ""value"", ""uncommon""]"
phoenix_ash-0014,Common Phoenix Ash of the Magus,Common Phoenix Ash of the Magus: a fantasy item used in various contexts.,fantasy,phoenix_ash,5.23,1,5,0,,,,,,1,,"{""stamina"": 18}","[""rare"", ""consumable"", ""fantasy""]"
stud-0015,Pristine Leather Stud,Pristine Leather Stud: a jewelry item used in various contexts.,jewelry,stud,3.41,0,1,0,,,,,,0,,"{""charisma"": 0.09}","[""fashion"", ""value"", ""common""]"
boron_fiber-0016,Boron Fiber of Might,Boron Fiber of Might: a materials item used in various contexts.,materials,boron_fiber,5.83,0,1,0,,,,,,0,,,"[""curse:-slow"", ""uncommon""]"
heat_resin-0017,Heat Resin of Swiftness of the Deep,Heat Resin of Swiftness: a crafting item used in various contexts.,crafting,heat_resin,2.36,0,1,0,,,,,,0,,,"[""common""]"
mana_thread-0018,Common Mana Thread of Fire,Common Mana Thread of Fire: a fantasy item used in various contexts.,fantasy,mana_thread,7.18,0,1,0,,,,,,0,,,"[""common"", ""fantasy""]"
nanite_injector-0019,Obsidian Nanite Injector Prototype ZX-31,Obsidian Nanite Injector Prototype ZX-31: a sci_fi item used in various contexts.,sci_fi,nanite_injector,4.81,0,1,0,,,,,,0,,,"[""common"", ""sci-fi""]"
silver_dust-0020,Fine Ceramic Silver Dust,Fine Ceramic Silver Dust: a materials item used in various contexts.,materials,silver_dust,11.21,0,1,0,,,,,,0,,,"[""common""]"
mess_kit-0021,Blessed Polymer Mess Kit,Blessed Polymer Mess Kit: a survival item used in various contexts.,survival,mess_kit,6.7,0,1,0,,,,,,0,,,"[""legendary""]"
water_bag-0022,Water Bag of Swiftness,Water Bag of Swiftness: a survival item used in various contexts.,survival,water_bag,8.28,0,1,0,,,,,,0,,,"[""common""]"
ion_pistol-0023,Mithril Ion Pistol Prototype QX-82,Mithril Ion Pistol Prototype QX-82: a sci_fi item used in various contexts.,sci_fi,ion_pistol,2.02,0,1,1,hands,27,39,,105,0,,,"[""common"", ""sci-fi""]"
spear-0024,Rusted Iron Spear,Rusted Iron Spear: a weapon item used in various contexts.,weapon,spear,8.22,0,1,1,hands,9,16,,55,0,,,"[""common"", ""weapon""]"
scroll-0025,Scroll of Fortune,Scroll of Fortune: a books item used in various contexts.,books,scroll,10.38,0,1,0,,,,,,0,,,"[""common""]"
pepper-0026,Pepper of Swiftness,Pepper of Swiftness: a food_drink item used in various contexts.,food_drink,pepper,2.75,0,1,0,,,,,,0,,,"[""common""]"
longbow-0027,Rusted Ceramic Longbow,Rusted Ceramic Longbow: a weapon item used in various contexts.,weapon,longbow,1.47,0,1,1,back,12,17,,165,0,,,"[""common"", ""weapon""]"
dragonbone_shard-0028,Quantum Dragonbone Shard of Swiftness,Dragonbone Shard of Swiftness: a materials item used in various contexts.,materials,dragonbone_shard,8.53,0,1,0,,,,,,0,,,"[""common""]"
air_rifle-0029,Rusted Glass Air Rifle,Rusted Glass Air Rifle: a weapon item used in various contexts.,weapon,air_rifle,3.67,0,1,1,back,14,19,,155,0,,,"[""epic"", ""weapon""]"
padded_pants-0030,Fine Obsidian Padded Pants,Fine Obsidian Padded Pants: a armor item used in various contexts.,armor,padded_pants,5.22,0,1,1,hands,,,8,188,0,,,"[""rare"", ""armor""]"
rope_ladder-0031,Rusted Glass Rope Ladder,Rusted Glass Rope Ladder: a tool item used in various contexts.,tool,rope_ladder,9.84,0,1,0,,,,,,0,,,"[""tool"", ""uncommon""]"
chalice-0032,Cursed Chalice of the Magus,Cursed Chalice of the Magus: a fantasy item used in various contexts.,fantasy,chalice,8.39,1,10,0,,,,,,1,,"{""resistance"": 64}","[""curse:-hp"", ""common"", ""consumable"", ""fantasy""]"
hydrant_key-0033,Worn Steel Hydrant Key,Worn Steel Hydrant Key: a tool item used in various contexts.,tool,hydrant_key,8.04,0,1,0,,,,,,0,,,"[""tool"", ""epic""]"
soul_thread-0034,Soul Thread of the Magus,Soul Thread of the Magus: a fantasy item used in various contexts.,fantasy,soul_thread,3.18,0,1,0,,,,,,0,,,"[""common"", ""fantasy""]"
armband-0035,Common Ceramic Armband,Common Ceramic Armband: a jewelry item used in various contexts.,jewelry,armband,1.89,0,1,0,,,,,,0,,"{""charisma"": 0.02}","[""fashion"", ""value"", ""common""]"
bo_staff-0036,"Bo Staff of Might, Epic","Bo Staff of Might, Epic: a weapon item used in various contexts.",weapon,bo_staff,4.29,0,1,1,hands,17,20,,121,0,,,"[""epic"", ""weapon""]"
arcane_seal-0037,Arcane Seal of the North,Arcane Seal of the North: a fantasy item used in various contexts.,fantasy,arcane_seal,10.1,0,1,0,,,,,,0,,,"[""common"", ""fantasy""]"
mittens-0038,Mittens of Swiftness,Mittens of Swiftness: a clothing item used in various contexts.,clothing,mittens,5.51,0,1,1,feet,,,1,,0,,,"[""wearable"", ""common""]"
leather_strip-0039,Heavy Steel Leather Strip,Heavy Steel Leather Strip: a materials item used in various contexts.,materials,leather_strip,9.08,0,1,0,,,,,,0,,"{""burn"": 0.11}","[""common""]"
lantern_stand_small-0040,Refined Mithril Lantern Stand Small,Refined Mithril Lantern Stand Small: a household item used in various contexts.,household,lantern_stand_small,9.36,0,1,0,,,,,,0,,,"[""uncommon""]"
pamphlet-0041,Common Wood Pamphlet,Common Wood Pamphlet: a books item used in various contexts.,books,pamphlet,1.31,0,1,0,,,,,,0,,,"[""common""]"
leather_patch-0042,Rusted Polymer Leather Patch,Rusted Polymer Leather Patch: a crafting item used in various contexts.,crafting,leather_patch,6.12,0,1,0,,,,,,0,,,"[""common""]"
warp_stabilizer-0043,Composite Warp Stabilizer Ion-charged ZX-79,Composite Warp Stabilizer Ion-charged ZX-79: a sci_fi item used in various contexts.,sci_fi,warp_stabilizer,9.32,0,1,1,back,,,,,0,,,"[""uncommon"", ""sci-fi""]"
ring_spiral-0044,Ring Spiral of Swiftness,Ring Spiral of Swiftness: a jewelry item used in various contexts.,jewelry,ring_spiral,5.98,0,1,0,,,,,,0,,"{""charisma"": 0.05}","[""fashion"", ""value"", ""common""]"
void_essence-0045,Moon-Touched Void Essence,Moon-Touched Void Essence: a fantasy item used in various contexts.,fantasy,void_essence,8.32,0,1,1,torso,,,,,0,,,"[""common"", ""fantasy""]"
ritual_mask-0046,"Ritual Mask of the Magus, Artifact","Ritual Mask of the Magus, Artifact: a fantasy item used in various contexts.",fantasy,ritual_mask,3.09,1,1,0,,,,,,1,,"{""luck"": 40}","[""artifact"", ""consumable"", ""fantasy""]"
topo_map-0047,Light Steel Topo Map,Light Steel Topo Map: a survival item used in various contexts.,survival,topo_map,3.63,0,1,0,,,,,,0,,,"[""common""]"
allen_key-0048,Allen Key of Swiftness,Allen Key of Swiftness: a tool item used in various contexts.,tool,allen_key,10.49,0,1,0,,,,,,0,,,"[""tool"", ""uncommon""]"
phylactery-0049,Elder Phylactery,Elder Phylactery: a fantasy item used in various contexts.,fantasy,phylactery,0.74,0,1,0,,,,,,0,,,"[""common"", ""fantasy""]"
jian-0050,Jian of Fortune,Jian of Fortune: a weapon item used in various contexts.,weapon,jian,7.49,0,1,1,hands,7,9,,151,0,,,"[""common"", ""weapon""]"
wrench-0051,Wrench of Swiftness,Wrench of Swiftness: a tool item used in various contexts.,tool,wrench,2.85,0,1,0,,,,,,0,,,"[""tool"", ""common""]"
stellar_map-0052,Wood Stellar Map Mk II VX-70,Wood Stellar Map Mk II VX-70: a sci_fi item used in various contexts.,sci_fi,stellar_map,7.81,0,1,1,back,,,,,0,,,"[""rare"", ""sci-fi""]"
stiletto-0053,Voidforged Stiletto of Might,Stiletto of Might: a weapon item used in various contexts.,weapon,stiletto,1.06,0,1,1,hands,7,11,,54,0,,,"[""uncommon"", ""weapon""]"
mystic_vial-0054,Sunforged Mystic Vial,Sunforged Mystic Vial: a fantasy item used in various contexts.,fantasy,mystic_vial,7.65,0,1,1,head,,,,,0,,,"[""common"", ""fantasy""]"
breastplate-0055,Breastplate of Swiftness,Breastplate of Swiftness: a armor item used in various contexts.,armor,breastplate,3.84,0,1,1,back,,,17,125,0,,,"[""rare"", ""armor""]"
wire_brush-0056,Wire Brush of Swiftness,Wire Brush of Swiftness: a tool item used in various contexts.,tool,wire_brush,2.52,0,1,0,,,,,,0,,,"[""tool"", ""common""]"
optic_sensor-0057,Obsidian Optic Sensor Quantum VX-71,Obsidian Optic Sensor Quantum VX-71: a sci_fi item used in various contexts.,sci_fi,optic_sensor,1.21,0,1,1,back,,,,,0,,,"[""uncommon"", ""sci-fi""]"
parrying_dagger-0058,"Worn Wood Parrying Dagger, Legendary","Worn Wood Parrying Dagger, Legendary: a weapon item used in various contexts.",weapon,parrying_dagger,11.07,0,1,1,back,9,15,,10,0,,,"[""legendary"", ""weapon""]"
heater_shield-0059,Heater Shield of Swiftness,Heater Shield of Swiftness: a armor item used in various contexts.,armor,heater_shield,5.41,0,1,1,head,,,10,166,0,,,"[""rare"", ""armor""]"
naginata-0060,Naginata of Might,Naginata of Might: a weapon item used in various contexts.,weapon,naginata,11.86,0,1,1,back,3,6,,144,0,,,"[""common"", ""weapon""]"
